date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1999-06-18,43.98,9574.12,159661,159382,99.9,159566,279
1999-06-19,43.97,9523.42,159569,159290,99.8,159566,279
1999-06-20,44.05,9665.83,160305,159566,100.0,159566,279
1999-06-21,44.03,9669.70,160121,159566,100.0,159566,279
1999-06-22,44.00,9675.51,159845,159566,100.0,159566,279
1999-06-23,44.04,9667.77,160213,159566,100.0,159566,279
1999-06-24,44.02,9671.64,160029,159566,100.0,159566,279
1999-06-25,44.00,9675.51,159845,159566,100.0,159566,279
1999-07-15,44.10,9656.16,160765,159566,100.0,159566,279
1999-07-16,44.11,9674.74,160857,159566,100.0,159566,279
1999-07-17,44.14,9730.48,161134,159566,100.0,159566,279
1999-07-18,44.12,9693.32,160950,159566,100.0,159566,279
1999-07-19,44.08,9660.03,160581,159566,100.0,159566,279
1999-07-20,44.07,9661.96,160489,159566,100.0,159566,279
1999-07-21,44.07,9661.96,160489,159566,100.0,159566,279
1999-07-22,44.06,9663.90,160397,159566,100.0,159566,279
1999-07-23,44.05,9665.83,160305,159566,100.0,159566,279
1999-07-24,44.03,9669.70,160121,159566,100.0,159566,279
1999-07-25,44.00,9675.51,159845,159566,100.0,159566,279
1999-07-26,44.03,9669.70,160121,159566,100.0,159566,279
1999-07-27,44.04,9667.77,160213,159566,100.0,159566,279
1999-07-28,44.05,9665.83,160305,159566,100.0,159566,279
1999-07-29,44.05,9665.83,160305,159566,100.0,159566,279
1999-07-30,44.04,9667.77,160213,159566,100.0,159566,279
1999-07-31,44.04,9667.77,160213,159566,100.0,159566,279
1999-08-01,44.04,9667.77,160213,159566,100.0,159566,279
1999-08-02,44.03,9669.70,160121,159566,100.0,159566,279
1999-08-03,44.00,9675.51,159845,159566,100.0,159566,279
1999-08-04,43.95,9422.03,159385,159106,99.7,159566,279
1999-08-05,43.88,9162.91,158743,158464,99.3,159566,279
1999-08-06,43.83,9148.81,158285,158006,99.0,159566,279
1999-08-07,43.75,9126.70,157554,157275,98.6,159566,279
1999-08-08,43.71,9115.79,157189,156910,98.3,159566,279
1999-08-09,43.68,9107.73,156916,156637,98.2,159566,279
1999-08-10,43.62,9091.73,156370,156091,97.8,159566,279
1999-08-11,43.56,9075.92,155825,155546,97.5,159566,279
1999-08-12,43.48,9055.04,155100,154821,97.0,159566,279
1999-08-13,43.43,9042.14,154648,154369,96.7,159566,279
1999-08-14,43.40,9034.40,154376,154097,96.6,159566,279
1999-08-15,43.38,9029.30,154196,153917,96.5,159566,279
1999-08-16,43.36,9024.21,154015,153736,96.3,159566,279
1999-08-17,43.31,9011.47,153564,153285,96.1,159566,279
1999-08-18,43.25,8996.34,153024,152745,95.7,159566,279
1999-08-19,43.20,8983.76,152574,152295,95.4,159566,279
1999-08-20,43.18,8978.78,152395,152116,95.3,159566,279
1999-08-21,43.14,8968.82,152036,151757,95.1,159566,279
1999-08-22,43.14,8968.82,152036,151757,95.1,159566,279
1999-08-23,43.14,8968.82,152036,151757,95.1,159566,279
1999-08-24,43.11,8961.35,151767,151488,94.9,159566,279
1999-08-25,43.11,8961.35,151767,151488,94.9,159566,279
1999-08-26,43.07,8951.47,151409,151130,94.7,159566,279
1999-08-27,43.01,8936.68,150872,150593,94.4,159566,279
1999-08-28,42.99,8931.78,150693,150414,94.3,159566,279
1999-08-29,42.95,8922.01,150336,150057,94.0,159566,279
1999-08-30,42.94,8919.57,150247,149968,94.0,159566,279
1999-08-31,42.90,8909.80,149890,149611,93.8,159566,279
1999-09-01,42.85,8897.68,149445,149166,93.5,159566,279
1999-09-02,42.82,8890.41,149179,148900,93.3,159566,279
1999-09-03,42.80,8885.56,149001,148722,93.2,159566,279
1999-09-04,42.77,8878.34,148734,148455,93.0,159566,279
1999-09-05,42.75,8873.53,148557,148278,92.9,159566,279
1999-09-06,42.72,8866.31,148291,148012,92.8,159566,279
1999-09-07,42.72,8866.31,148291,148012,92.8,159566,279
1999-09-08,42.67,8854.34,147848,147569,92.5,159566,279
1999-09-09,42.65,8849.57,147671,147392,92.4,159566,279
1999-09-10,42.64,8847.18,147582,147303,92.3,159566,279
1999-09-11,42.61,8840.02,147317,147038,92.1,159566,279
1999-09-12,42.58,8832.90,147052,146773,92.0,159566,279
1999-09-13,42.56,8828.16,146875,146596,91.9,159566,279
1999-09-14,42.54,8823.42,146699,146420,91.8,159566,279
1999-09-15,42.46,8804.53,145994,145715,91.3,159566,279
1999-09-16,42.43,8797.47,145730,145451,91.2,159566,279
1999-09-17,42.38,8785.72,145290,145011,90.9,159566,279
1999-09-18,42.34,8776.36,144939,144660,90.7,159566,279
1999-09-19,42.30,8767.00,144588,144309,90.4,159566,279
1999-09-20,42.26,8757.70,144237,143958,90.2,159566,279
1999-09-21,42.23,8750.72,143975,143696,90.1,159566,279
1999-09-22,42.20,8743.73,143712,143433,89.9,159566,279
1999-09-23,42.14,8729.85,143188,142909,89.6,159566,279
1999-09-24,42.09,8718.29,142752,142473,89.3,159566,279
1999-09-25,42.06,8711.39,142490,142211,89.1,159566,279
1999-09-26,42.00,8697.58,141968,141689,88.8,159566,279
1999-09-27,41.98,8692.99,141794,141515,88.7,159566,279
1999-09-28,41.94,8683.83,141447,141168,88.5,159566,279
1999-09-29,41.95,8686.12,141534,141255,88.5,159566,279
1999-09-30,42.00,8697.58,141968,141689,88.8,159566,279
1999-10-01,41.99,8695.28,141881,141602,88.7,159566,279
1999-10-02,41.98,8692.99,141794,141515,88.7,159566,279
1999-10-03,41.99,8695.28,141881,141602,88.7,159566,279
1999-10-04,41.99,8695.28,141881,141602,88.7,159566,279
1999-10-05,41.98,8692.99,141794,141515,88.7,159566,279
1999-10-06,41.88,8670.10,140926,140647,88.1,159566,279
1999-10-07,41.80,8651.86,140233,139954,87.7,159566,279
1999-10-15,44.05,9665.83,160305,159566,100.0,159566,279
1999-10-16,44.04,9667.77,160213,159566,100.0,159566,279
1999-10-17,44.01,9673.57,159937,159566,100.0,159566,279
1999-10-18,44.02,9671.64,160029,159566,100.0,159566,279
1999-10-19,41.36,8552.62,136448,136169,85.3,159566,279
1999-10-20,41.26,8530.29,135594,135315,84.8,159566,279
1999-10-21,41.23,8523.61,135338,135059,84.6,159566,279
1999-10-22,41.21,8519.15,135168,134889,84.5,159566,279
1999-10-23,41.17,8510.25,134827,134548,84.3,159566,279
1999-10-24,41.17,8510.25,134827,134548,84.3,159566,279
1999-10-25,41.12,8499.13,134402,134123,84.1,159566,279
1999-10-26,41.06,8485.81,133893,133614,83.7,159566,279
1999-10-27,41.02,8476.93,133553,133274,83.5,159566,279
1999-10-28,41.01,8474.72,133468,133189,83.5,159566,279
1999-10-29,41.00,8472.50,133384,133105,83.4,159566,279
1999-10-30,40.95,8461.43,132961,132682,83.2,159566,279
1999-10-31,40.93,8457.00,132791,132512,83.0,159566,279
1999-11-01,40.89,8448.15,132453,132174,82.8,159566,279
1999-11-02,40.85,8439.33,132115,131836,82.6,159566,279
1999-11-05,40.82,8432.71,131862,131583,82.5,159566,279
1999-11-06,40.82,8432.71,131862,131583,82.5,159566,279
1999-11-07,40.79,8426.10,131609,131330,82.3,159566,279
1999-11-08,40.76,8419.50,131357,131078,82.1,159566,279
1999-11-09,40.73,8412.90,131104,130825,82.0,159566,279
1999-11-10,40.70,8406.30,130852,130573,81.8,159566,279
1999-11-11,40.68,8401.90,130684,130405,81.7,159566,279
1999-11-12,40.66,8397.50,130516,130237,81.6,159566,279
1999-11-13,40.64,8393.10,130348,130069,81.5,159566,279
1999-11-14,40.60,8384.30,130012,129733,81.3,159566,279
1999-11-15,40.57,8377.67,129761,129482,81.1,159566,279
1999-11-16,40.55,8373.25,129594,129315,81.0,159566,279
1999-11-17,40.52,8366.61,129342,129063,80.9,159566,279
1999-11-18,40.49,8359.96,129091,128812,80.7,159566,279
1999-11-19,40.46,8353.26,128841,128562,80.6,159566,279
1999-11-20,40.44,8348.80,128674,128395,80.5,159566,279
1999-11-21,40.41,8342.11,128423,128144,80.3,159566,279
